"","TIME_PERIOD","MEASURE","MEASURE_label.en.label","INDEX","INDEX_label.en","TSEST","TSEST_label.en.label","REGION","REGION_label.en.label","FREQ","FREQ_label.en.label","obsValue","UNIT_MEASURE","UNIT_MEASURE_label.en","OBS_STATUS","OBS_STATUS_label.en"
"1657","2020-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","40080","Motor vehicles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",4,"PCT","Percent","r","revised"
"1578","2021-Q1","3","Percentage Change from Corresponding Quarter of the Previous Year","40080","Motor vehicles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",5.8,"PCT","Percent",NA,NA
"1579","2021-Q2","3","Percentage Change from Corresponding Quarter of the Previous Year","40080","Motor vehicles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",7.4,"PCT","Percent",NA,NA
"1597","2021-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","40080","Motor vehicles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",6.1,"PCT","Percent",NA,NA
"1607","2021-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","40080","Motor vehicles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",6.2,"PCT","Percent",NA,NA
"1551","2020-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","20003","Housing","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.2,"PCT","Percent",NA,NA
"1594","2020-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","20003","Housing","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.9,"PCT","Percent",NA,NA
"1732","2021-Q1","3","Percentage Change from Corresponding Quarter of the Previous Year","20003","Housing","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-1.1,"PCT","Percent","r","revised"
"1720","2021-Q2","3","Percentage Change from Corresponding Quarter of the Previous Year","20003","Housing","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.2,"PCT","Percent","r","revised"
"1649","2021-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","20003","Housing","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",1.6,"PCT","Percent",NA,NA
"1636","2021-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","20003","Housing","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",4,"PCT","Percent",NA,NA
"133","2020-Q3","2","Percentage Change from Previous Period","40034","Other food products n.e.c.","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-3.5,"PCT","Percent",NA,NA
"134","2020-Q4","2","Percentage Change from Previous Period","40034","Other food products n.e.c.","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.9,"PCT","Percent",NA,NA
"135","2021-Q1","2","Percentage Change from Previous Period","40034","Other food products n.e.c.","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.7,"PCT","Percent",NA,NA
"136","2021-Q2","2","Percentage Change from Previous Period","40034","Other food products n.e.c.","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-1,"PCT","Percent",NA,NA
"137","2021-Q3","2","Percentage Change from Previous Period","40034","Other food products n.e.c.","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.3,"PCT","Percent",NA,NA
"138","2021-Q4","2","Percentage Change from Previous Period","40034","Other food products n.e.c.","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",2.4,"PCT","Percent",NA,NA
"139","2020-Q3","2","Percentage Change from Previous Period","97572","Games, toys and hobbies","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",1.6,"PCT","Percent","r","revised"
"140","2020-Q4","2","Percentage Change from Previous Period","97572","Games, toys and hobbies","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",1.2,"PCT","Percent","r","revised"
"141","2021-Q1","2","Percentage Change from Previous Period","97572","Games, toys and hobbies","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-1.1,"PCT","Percent","r","revised"
"142","2021-Q2","2","Percentage Change from Previous Period","97572","Games, toys and hobbies","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.4,"PCT","Percent","r","revised"
"143","2021-Q3","2","Percentage Change from Previous Period","97572","Games, toys and hobbies","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",2,"PCT","Percent","r","revised"
"144","2021-Q4","2","Percentage Change from Previous Period","97572","Games, toys and hobbies","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-1.6,"PCT","Percent",NA,NA
"145","2020-Q3","2","Percentage Change from Previous Period","97558","Water and sewerage","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-3.8,"PCT","Percent",NA,NA
"146","2020-Q4","2","Percentage Change from Previous Period","97558","Water and sewerage","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.3,"PCT","Percent",NA,NA
